ID,Month,Avy_Mort,Prop_Avy
LG074,12,0,0.11
LG075,1,0,0.16
LG075,2,0,0.31
LG075,3,0,0.13
LG075,4,0,0.28
LG075,5,0,0.44
LG075,10,0,0.76
LG075,11,0,0.43
LG075,12,0,0.53
LG076,1,0,0.03
LG076,2,0,0.18
LG076,3,0,0.17
LG076,4,0,0.23
LG076,5,0,0.96
LG076,10,0,0.87
LG076,11,0,0.19
LG076,12,0,0.23
LG077,1,0,0.78
LG077,2,0,0.53
LG077,3,0,0.34
LG077,4,0,0.95
LG077,5,0,0.9
LG077,10,0,0.95
LG077,11,0,0.36
LG077,12,0,0.28
LG078,1,0,0.08
LG078,2,0,0
LG078,3,0,0.02
LG078,4,0,0
LG078,5,0,0.52
LG078,10,0,0.96
LG078,11,0,0.21
LG078,12,0,0.33
LG080,1,0,0.08
LG080,2,0,0
LG080,3,0,0
LG080,4,0,0
LG080,5,0,0
LG080,10,0,0
LG080,11,0,0.15
LG080,12,0,0.01
LG081,1,0,0
LG081,2,0,0.09
LG081,3,0,0.04
LG081,4,0,0.1
LG081,5,0,0.1
LG081,10,0,0.17
LG081,11,0,0.13
LG081,12,0,0.05
LG087,1,1,0.07
LG087,2,1,0.07
LG087,3,1,0.23
LG087,4,1,0.25
LG087,5,1,0.27
LG087,10,1,0.42
LG087,11,1,0.18
LG087,12,1,0.09
LG090,1,0,0.03
LG090,2,0,0.17
LG090,3,0,0.13
LG090,4,0,0.16
LG090,5,0,0.35
LG090,10,0,0.6
LG090,11,0,0.11
LG090,12,0,0.12
LG092,1,0,0.07
LG092,2,0,0.03
LG092,3,0,0.12
LG092,4,0,0.16
LG092,10,0,0.8
LG092,11,0,0.24
LG092,12,0,0.09
LG093,1,0,0.32
LG093,2,0,0.63
LG093,3,0,0.79
LG093,4,0,0.94
LG093,5,0,0.97
LG093,10,0,0.96
LG093,11,0,0.48
LG093,12,0,0.49
LG094,1,0,0
LG094,10,0,0.85
LG094,12,0,0.28
LG095,10,0,0
LG096,1,0,0.13
LG096,2,0,0.35
LG096,3,0,0.15
LG096,4,0,0.3
LG096,5,0,0.96
LG096,10,0,0.82
LG096,11,0,0.53
LG096,12,0,0.25
LG097,1,0,0.03
LG097,2,0,0.01
LG097,3,0,0
LG097,4,0,0.02
LG097,5,0,0.49
LG097,10,0,0.78
LG097,11,0,0.11
LG097,12,0,0.04
LG098,1,0,0.14
LG098,2,0,0.05
LG098,3,0,0.27
LG098,4,0,0.34
LG098,5,0,0.9
LG098,10,0,0.88
LG098,11,0,0.37
LG098,12,0,0.13
LG099,1,0,0.11
LG099,2,0,0.08
LG099,3,0,0.14
LG099,4,0,0.23
LG099,5,0,0.12
LG099,10,0,0.38
LG099,11,0,0.19
LG099,12,0,0.18
LG100,10,0,1
LG101,1,1,0.02
LG101,2,1,0.01
LG101,3,1,0
LG101,4,1,0.04
LG101,5,1,0.4
LG101,10,1,0.82
LG101,11,1,0.13
LG101,12,1,0.04
LG103,1,1,0.06
LG103,2,1,0.06
LG103,3,1,0.05
LG103,4,1,0.06
LG103,5,1,0.04
LG103,10,1,0.48
LG103,11,1,0.22
LG103,12,1,0.12
LG104,1,0,0
LG104,2,0,0
LG104,3,0,0.01
LG104,4,0,0.11
LG104,5,0,0.36
LG104,10,0,0.85
LG104,11,0,0.34
LG104,12,0,0.04
LG105,1,0,0.36
LG105,2,0,0.58
LG105,3,0,0.7
LG105,4,0,0.85
LG105,5,0,0.99
LG105,10,0,0.88
LG105,11,0,0.67
LG105,12,0,0.73
LG107,1,0,0.96
LG107,2,0,0.98
LG107,3,0,0.98
LG107,4,0,1
LG107,5,0,0.94
LG107,10,0,0.97
LG107,11,0,1
LG107,12,0,0.96
LG108,1,0,0.29
LG108,2,0,0.7
LG108,3,0,0.5
LG108,4,0,0.67
LG108,5,0,0.98
LG108,10,0,0.92
LG108,11,0,0.85
LG108,12,0,0.41
LG110,1,0,0.16
LG110,2,0,0.49
LG110,3,0,0.48
LG110,4,0,0.39
LG110,5,0,0.77
LG110,10,0,0.92
LG110,11,0,0.32
LG110,12,0,0.1
LG111,1,0,0.58
LG111,2,0,0.5
LG111,3,0,0.79
LG111,4,0,0.82
LG111,5,0,1
LG111,10,0,0.77
LG111,11,0,0.56
LG111,12,0,0.64
LG112,1,0,0.05
LG112,2,0,0
LG112,10,0,0.99
LG112,11,0,0.19
LG112,12,0,0.06
LG113,1,0,0.98
LG113,2,0,0.63
LG113,3,0,0.97
LG113,4,0,0.83
LG113,5,0,0.52
LG113,10,0,0.93
LG113,11,0,0.97
LG113,12,0,0.97
LG114,1,0,0.89
LG114,2,0,0.94
LG114,3,0,0.95
LG114,4,0,0.72
LG114,5,0,0.18
LG114,10,0,0.89
LG114,11,0,0.86
LG114,12,0,0.93
LG115,10,0,0.98
LG115,11,0,0.69
LG116,1,0,0.33
LG116,2,0,0.18
LG116,3,0,0.26
LG116,4,0,0.31
LG116,5,0,0.86
LG116,10,0,0.83
LG116,11,0,0.22
LG116,12,0,0.23
LG117,1,0,0.02
LG117,2,0,0.02
LG117,3,0,0.03
LG117,4,0,0.03
LG117,5,0,0.65
LG117,10,0,0.89
LG117,11,0,0.3
LG117,12,0,0.14
LG118,1,0,0.19
LG118,2,0,0.36
LG118,3,0,0.46
LG118,4,0,0.3
LG118,5,0,0.74
LG118,10,0,0.94
LG118,11,0,0.31
LG118,12,0,0.28
LG120,1,0,0
LG120,2,0,0
LG120,3,0,0
LG120,10,0,0.8
LG120,11,0,0
LG120,12,0,0.07
LG129,1,0,0.32
LG129,2,0,0.28
LG129,3,0,0.95
LG129,4,0,0.86
LG129,5,0,0.92
LG129,10,0,0.97
LG129,11,0,0.52
LG129,12,0,0.55
LG130,1,0,0.44
LG130,2,0,0.56
LG130,3,0,0.69
LG130,4,0,0.8
LG130,5,0,1
LG130,10,0,0.92
LG130,11,0,0.3
LG130,12,0,0.95
LG131,1,0,0.77
LG131,2,0,0.74
LG131,3,0,0.88
LG131,4,0,0.94
LG131,5,0,0.97
LG131,10,0,0.99
LG131,11,0,0.97
LG131,12,0,0.85
LG132,1,1,0.32
LG132,2,1,0.35
LG132,3,1,0.34
LG132,4,1,0.67
LG132,5,1,0.91
LG132,10,1,0.89
LG132,11,1,0.55
LG132,12,1,0.31
LG133,1,0,0.65
LG133,2,0,0.79
LG133,3,0,0.66
LG133,4,0,0.71
LG133,5,0,0.84
LG133,10,0,0.99
LG133,11,0,0.73
LG133,12,0,0.61
LG134,1,0,0
LG134,2,0,0.01
LG134,3,0,0.02
LG134,4,0,0.67
LG134,5,0,0.98
LG134,10,0,0.22
LG134,11,0,0.31
LG134,12,0,0.04
LG135,1,0,0.28
LG135,2,0,0.14
LG135,3,0,0.1
LG135,4,0,0.3
LG135,5,0,0.44
LG135,10,0,0.45
LG135,11,0,0.47
LG135,12,0,0.34
LG137,1,0,0.15
LG137,2,0,0.1
LG137,3,0,0
LG137,4,0,0.01
LG137,5,0,0.12
LG137,10,0,0.39
LG137,11,0,0.36
LG137,12,0,0.17
LG138,1,0,0.02
LG138,2,0,0.07
LG138,3,0,0.02
LG138,4,0,0.2
LG138,5,0,0.59
LG138,10,0,0.9
LG138,11,0,0.58
LG138,12,0,0.24
LG139,1,0,0
LG139,2,0,0
LG139,3,0,0
LG139,4,0,0.16
LG139,5,0,0.78
LG139,10,0,0.64
LG139,11,0,0.52
LG139,12,0,0.09
LG140,1,1,0.58
LG140,2,1,0.93
LG140,3,1,0.99
LG140,4,1,0.88
LG140,5,1,0.92
LG140,10,1,0.95
LG140,11,1,0.55
LG140,12,1,0.73
LG141,1,0,0.49
LG141,2,0,0.47
LG141,3,0,0.64
LG141,4,0,0.71
LG141,5,0,0.88
LG141,10,0,0.96
LG141,11,0,0.49
LG141,12,0,0.44
LG143,1,1,0.2
LG143,2,1,0.24
LG143,3,1,0.31
LG143,4,1,0.38
LG143,5,1,0.62
LG143,10,1,0.96
LG143,11,1,0.51
LG143,12,1,0.23
LG144,1,0,0.03
LG144,2,0,0.07
LG144,3,0,0.03
LG144,4,0,0.08
LG144,5,0,0.59
LG144,10,0,0.89
LG144,11,0,0.15
LG144,12,0,0.07
LG145,1,0,0.01
LG145,2,0,0.01
LG145,3,0,0.11
LG145,4,0,0.3
LG145,5,0,0.82
LG145,10,0,0.95
LG145,11,0,0.5
LG145,12,0,0.07
LG146,1,0,0.25
LG146,2,0,0.61
LG146,3,0,0.77
LG146,4,0,0.86
LG146,5,0,0.95
LG146,10,0,0.97
LG146,11,0,0.74
LG146,12,0,0.56
LG147,1,1,0.01
LG147,2,1,0
LG147,3,1,0.01
LG147,4,1,0.03
LG147,5,1,0.39
LG147,10,1,0.87
LG147,11,1,0.48
LG147,12,1,0
LG148,1,0,0.11
LG148,2,0,0.15
LG148,3,0,0.24
LG148,4,0,0.51
LG148,5,0,0.94
LG148,10,0,0.89
LG148,11,0,0.43
